raw_words,task,quadruples
The lemon chicken was awful .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['lemon', 'chicken']}, 'category': 'Food#Quality', 'opinion': {'from': 4, 'to': 5, 'term': ['awful']}, 'sentiment': 'NEG'}]"
I 've been told they are busy and it will take a little longer but NEVER refuse to take the order .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 11, 'to': 14, 'term': ['a', 'little', 'longer']}, 'sentiment': 'NEG'}]"
I have already recommended to Friends and Family .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 4, 'term': ['recommended']}, 'sentiment': 'POS'}]"
We then had burgers which were great ( next time I 'd get it without the bacon onion jam or whatever they put on it ... . but my friends enjoyed it ) .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['burgers']}, 'category': 'Food#Quality', 'opinion': {'from': 30, 'to': 31, 'term': ['enjoyed']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['burgers']}, 'category': 'Food#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['great']}, 'sentiment': 'POS'}]"
"We were sat quickly , and after we ordered , everything came out within 10 minutes .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
The prices are reasonable,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['prices']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 4, 'term': ['reasonable']}, 'sentiment': 'POS'}]"
They are very conscious of cross-contamination .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['They']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 4, 'term': ['very', 'conscious']}, 'sentiment': 'POS'}]"
You must .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Mango Lemonade was way overpriced and nearly too sour to drink .,ACOS,"[{'aspect': {'from': 0, 'to': 2, 'term': ['Mango', 'Lemonade']}, 'category': 'Drinks#Prices', 'opinion': {'from': 3, 'to': 5, 'term': ['way', 'overpriced']}, 'sentiment': 'NEG'}, {'aspect': {'from': 0, 'to': 2, 'term': ['Mango', 'Lemonade']}, 'category': 'Drinks#Quality', 'opinion': {'from': 6, 'to': 9, 'term': ['nearly', 'too', 'sour']}, 'sentiment': 'NEG'}]"
It 's classy in a rustic way.The service was really great and friendly and the bartender made suggestions of different drinks to try when we asked .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Ambience#General', 'opinion': {'from': 2, 'to': 3, 'term': ['classy']}, 'sentiment': 'POS'}, {'aspect': {'from': 15, 'to': 16, 'term': ['bartender']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['service']}, 'category': 'Service#General', 'opinion': {'from': 12, 'to': 13, 'term': ['friendly']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['service']}, 'category': 'Service#General', 'opinion': {'from': 9, 'to': 11, 'term': ['really', 'great']}, 'sentiment': 'POS'}]"
The food was delisous but pricey and you do n't get enough crab for the price .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['food']}, 'category': 'Food#Prices', 'opinion': {'from': 5, 'to': 6, 'term': ['pricey']}, 'sentiment': 'NEG'}, {'aspect': {'from': 1, 'to': 2, 'term': ['food']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['delisous']}, 'sentiment': 'POS'}]"
The chicken is skewered and charred beautifully and the basmati is perfectly fluffy and buttery with the most amazing flavor that 's hard to replicate .,ACOS,"[{'aspect': {'from': 19, 'to': 20, 'term': ['flavor']}, 'category': 'Food#Quality', 'opinion': {'from': 17, 'to': 19, 'term': ['most', 'amazing']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['chicken']}, 'category': 'Food#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['beautifully']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 10, 'term': ['basmati']}, 'category': 'Food#Quality', 'opinion': {'from': 11, 'to': 13, 'term': ['perfectly', 'fluffy']}, 'sentiment': 'POS'}]"
Easily the best bagels and bialys in Portland .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['bagels']}, 'category': 'Food#Quality', 'opinion': {'from': 1, 'to': 3, 'term': ['the', 'best']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 6, 'term': ['bialys']}, 'category': 'Food#Quality', 'opinion': {'from': 1, 'to': 3, 'term': ['the', 'best']}, 'sentiment': 'POS'}]"
I really like the concept .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['concept']}, 'category': 'Restaurant#General', 'opinion': {'from': 1, 'to': 3, 'term': ['really', 'like']}, 'sentiment': 'POS'}]"
I personally felt the lasagna had ZERO flavor .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['lasagna']}, 'category': 'Food#Quality', 'opinion': {'from': 6, 'to': 8, 'term': ['ZERO', 'flavor']}, 'sentiment': 'NEG'}]"
"So , while Junior  's might not be your absolute *favoritest* place , it 's definitely a great choice for those times when everyone needs to compromise a little to find a menu that is flexible enough for a variety of diets.The place is pretty tight , so seating for parties of 5+ is limited to the very back two tables .",ACOS,"[{'aspect': {'from': 43, 'to': 44, 'term': ['is']}, 'category': 'Ambience#General', 'opinion': {'from': 45, 'to': 47, 'term': ['tight', ',']}, 'sentiment': 'NEG'}, {'aspect': {'from': 42, 'to': 43, 'term': ['place']}, 'category': 'Food#Style_Options', 'opinion': {'from': 36, 'to': 38, 'term': ['enough', 'for']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['Junior']}, 'category': 'Restaurant#General', 'opinion': {'from': 18, 'to': 19, 'term': ['choice']}, 'sentiment': 'POS'}]"
Very moist and flavorful .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['flavorful']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'moist']}, 'sentiment': 'POS'}]"
"For the main course we shared two servings of lahmacun ( Turkish pizza ) which I regret now : I should have eaten one whole portion , it was so delicious .",ACOS,"[{'aspect': {'from': 9, 'to': 10, 'term': ['lahmacun']}, 'category': 'Food#Quality', 'opinion': {'from': 29, 'to': 31, 'term': ['so', 'delicious']}, 'sentiment': 'POS'}]"
The wine flight selections are exquisite as well as the Ahi tuna with avocado .,ACOS,"[{'aspect': {'from': 10, 'to': 14, 'term': ['Ahi', 'tuna', 'with', 'avocado']}, 'category': 'Food#Quality', 'opinion': {'from': 5, 'to': 6, 'term': ['exquisite']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['wine']}, 'category': 'Drinks#Quality', 'opinion': {'from': 5, 'to': 6, 'term': ['exquisite']}, 'sentiment': 'POS'}]"
The server from the first meal remembered me ( impressed ! ),ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['server']}, 'category': 'Service#General', 'opinion': {'from': 9, 'to': 10, 'term': ['impressed']}, 'sentiment': 'POS'}]"
The meatballs were so good .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['meatballs']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 5, 'term': ['so', 'good']}, 'sentiment': 'POS'}]"
They are now putting hard boiled egg in their Caesar salad and adding carrots to others without them listed on the ingredients- very frustrating if you want to know what youre eating .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': 22, 'to': 24, 'term': ['very', 'frustrating']}, 'sentiment': 'NEG'}]"
The sandwiches are delicious .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['sandwiches']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['delicious']}, 'sentiment': 'POS'}]"
"Big hi-res TV screens , engaging fun bartenders / servers , tons of video poker machines , and a pool table -- tons of fun !",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['bartenders']}, 'category': 'Service#General', 'opinion': {'from': 6, 'to': 7, 'term': ['fun']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 22, 'to': 25, 'term': ['tons', 'of', 'fun']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 10, 'term': ['servers']}, 'category': 'Service#General', 'opinion': {'from': 6, 'to': 7, 'term': ['fun']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 4, 'term': ['hi-res', 'TV', 'screens']}, 'category': 'Restaurant#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Big']}, 'sentiment': 'POS'}]"
They did a fabulous job on our wedding cake and cupcakes !,ACOS,"[{'aspect': {'from': 10, 'to': 11, 'term': ['cupcakes']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['fabulous']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 9, 'term': ['wedding', 'cake']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['fabulous']}, 'sentiment': 'POS'}]"
"You should expect that at any place.As for the food : I will take the crispy tots at the Dub over the limp , greasy , over-seasoned basket of fries at McMenamins any day .",ACOS,"[{'aspect': {'from': 29, 'to': 30, 'term': ['fries']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
The place got really packed very quickly and our server told us that the back bar becomes more of a dance lounge later on in the evening which I think is pretty awesome .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Ambience#General', 'opinion': {'from': 31, 'to': 33, 'term': ['pretty', 'awesome']}, 'sentiment': 'POS'}]"
I had the green tea ice cream and it was just okay .,ACOS,"[{'aspect': {'from': 3, 'to': 7, 'term': ['green', 'tea', 'ice', 'cream']}, 'category': 'Food#Quality', 'opinion': {'from': 10, 'to': 12, 'term': ['just', 'okay']}, 'sentiment': 'NEU'}]"
"Not too sweet , just right .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
The Funghi pizza was okay.The busser who brought it obviously didn't mention anything ( surely they wouldn't have served it if they could spot that it was over-baked ) so we were willing to chalk it up to `` it 's supposed to be that way '' especially since Neapolitan pizzas are basically flash-baked .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['Funghi', 'pizza']}, 'category': 'Food#Quality', 'opinion': {'from': 4, 'to': 5, 'term': ['okay.The']}, 'sentiment': 'NEU'}]"
"Strike three.We got our food , and although I had asked for no bread for my sandwich , there it was in all its glutinous glory .",ACOS,"[{'aspect': {'from': 16, 'to': 17, 'term': ['sandwich']}, 'category': 'Food#Quality', 'opinion': {'from': 24, 'to': 26, 'term': ['glutinous', 'glory']}, 'sentiment': 'NEG'}]"
"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",ACOS,"[{'aspect': {'from': 4, 'to': 6, 'term': ['french', 'fries']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 3, 'term': ['turkey', 'burger']}, 'category': 'Food#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Amazing']}, 'sentiment': 'POS'}, {'aspect': {'from': 19, 'to': 20, 'term': ['milkshakes']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
We ordered the parrillada and it was more than enough for two .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['parrillada']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"My girlfriends and I came here for restaurant week dinner , so after class , we head over to Harvest and were promptly seated .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 22, 'to': 23, 'term': ['promptly']}, 'sentiment': 'POS'}]"
i shouldve taken notes ! noodles are cooked to perfection .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['noodles']}, 'category': 'Food#Quality', 'opinion': {'from': 9, 'to': 10, 'term': ['perfection']}, 'sentiment': 'POS'}]"
I was disappointed at the food .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['food']}, 'category': 'Food#Quality', 'opinion': {'from': 2, 'to': 3, 'term': ['disappointed']}, 'sentiment': 'NEG'}]"
"Some days the food is better than others , depending on who the cook is , but I usually go to this location , since there is a mall right beside it .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['food']}, 'category': 'Food#Quality', 'opinion': {'from': 5, 'to': 6, 'term': ['better']}, 'sentiment': 'POS'}]"
"Our waitress was impressive - attentive , professional , respectful , and prompt .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['waitress']}, 'category': 'Service#General', 'opinion': {'from': 3, 'to': 4, 'term': ['impressive']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['waitress']}, 'category': 'Service#General', 'opinion': {'from': 7, 'to': 8, 'term': ['professional']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['waitress']}, 'category': 'Service#General', 'opinion': {'from': 9, 'to': 10, 'term': ['respectful']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['waitress']}, 'category': 'Service#General', 'opinion': {'from': 5, 'to': 6, 'term': ['attentive']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['waitress']}, 'category': 'Service#General', 'opinion': {'from': 12, 'to': 13, 'term': ['prompt']}, 'sentiment': 'POS'}]"
Theres Something for everyone here at Verts .,ACOS,"[{'aspect': {'from': 6, 'to': 7, 'term': ['Verts']}, 'category': 'Restaurant#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
And the seafood special .,ACOS,"[{'aspect': {'from': 2, 'to': 4, 'term': ['seafood', 'special']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"The desserts were delicious ( especially the Irish coffee ice cream ) , the espresso was tasty , and my girls had a great time .",ACOS,"[{'aspect': {'from': 7, 'to': 11, 'term': ['Irish', 'coffee', 'ice', 'cream']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['delicious']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['desserts']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['delicious']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 23, 'to': 24, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 14, 'to': 15, 'term': ['espresso']}, 'category': 'Drinks#Quality', 'opinion': {'from': 16, 'to': 17, 'term': ['tasty']}, 'sentiment': 'POS'}]"
"Awesome , awesome service !",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['service']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 3, 'term': ['awesome']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['service']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Awesome']}, 'sentiment': 'POS'}]"
"I got a vanilla cupcake with chocolate frosting , the frosting tasted like it was from stop and shop and the cake was moist ( I hate that word ) and fresh but something was missing .",ACOS,"[{'aspect': {'from': 10, 'to': 11, 'term': ['frosting']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}, {'aspect': {'from': 21, 'to': 22, 'term': ['cake']}, 'category': 'Food#Quality', 'opinion': {'from': 26, 'to': 27, 'term': ['hate']}, 'sentiment': 'NEG'}, {'aspect': {'from': 21, 'to': 22, 'term': ['cake']}, 'category': 'Food#Quality', 'opinion': {'from': 35, 'to': 36, 'term': ['missing']}, 'sentiment': 'NEG'}, {'aspect': {'from': 21, 'to': 22, 'term': ['cake']}, 'category': 'Food#Quality', 'opinion': {'from': 31, 'to': 32, 'term': ['fresh']}, 'sentiment': 'POS'}]"
"Pros : they deliver , .. thats about itCons : Fish tasted weird , food was soggy and super salty .",ACOS,"[{'aspect': {'from': 10, 'to': 11, 'term': ['Fish']}, 'category': 'Food#Quality', 'opinion': {'from': 12, 'to': 13, 'term': ['weird']}, 'sentiment': 'NEG'}, {'aspect': {'from': 14, 'to': 15, 'term': ['food']}, 'category': 'Food#Quality', 'opinion': {'from': 18, 'to': 20, 'term': ['super', 'salty']}, 'sentiment': 'NEG'}, {'aspect': {'from': 14, 'to': 15, 'term': ['food']}, 'category': 'Food#Quality', 'opinion': {'from': 16, 'to': 17, 'term': ['soggy']}, 'sentiment': 'NEG'}]"
After hearing good things about Yau 's I was pretty disappointed with my expierence .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 10, 'to': 11, 'term': ['disappointed']}, 'sentiment': 'NEG'}]"
Asmara far surpasses a 5 star rating .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Asmara']}, 'category': 'Restaurant#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"The store looks small and funky from the outside , but this store carries pretty much everything that you need to eat like a true Korean .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['store']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 4, 'term': ['small']}, 'sentiment': 'POS'}, {'aspect': {'from': 12, 'to': 13, 'term': ['store']}, 'category': 'Restaurant#General', 'opinion': {'from': 14, 'to': 15, 'term': ['pretty']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['store']}, 'category': 'Restaurant#General', 'opinion': {'from': 5, 'to': 6, 'term': ['funky']}, 'sentiment': 'POS'}]"
"Great atmosphere , great drinks , great food truck outside .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['atmosphere']}, 'category': 'Ambience#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Great']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['drinks']}, 'category': 'Drinks#Quality', 'opinion': {'from': 3, 'to': 4, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 9, 'term': ['food', 'truck']}, 'category': 'Food#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['great']}, 'sentiment': 'POS'}]"
"But , even with that loyal following , it 's still pretty easy to grab a table most nights .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 11, 'to': 13, 'term': ['pretty', 'easy']}, 'sentiment': 'POS'}]"
I loved the flavors and sauces inside .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['flavors']}, 'category': 'Food#Quality', 'opinion': {'from': 1, 'to': 2, 'term': ['loved']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 6, 'term': ['sauces']}, 'category': 'Food#Quality', 'opinion': {'from': 1, 'to': 2, 'term': ['loved']}, 'sentiment': 'POS'}]"
"I miss the old photos on the walls , and the new plasma TV with them cycling through just is n't the same.The roast beef sammiches are good .",ACOS,"[{'aspect': {'from': 23, 'to': 26, 'term': ['roast', 'beef', 'sammiches']}, 'category': 'Food#Quality', 'opinion': {'from': 27, 'to': 28, 'term': ['good']}, 'sentiment': 'POS'}]"
Bar chairs are really uncomfortable so we either take a booth in the dining room or sit outside .,ACOS,"[{'aspect': {'from': 0, 'to': 2, 'term': ['Bar', 'chairs']}, 'category': 'Restaurant#General', 'opinion': {'from': 4, 'to': 5, 'term': ['uncomfortable']}, 'sentiment': 'NEG'}]"
I love coming here .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}]"
"The Bread on the Reuben was burned , hardly any sauerkraut , cheese or enough Shamrock sauce !",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['Bread']}, 'category': 'Food#Quality', 'opinion': {'from': 8, 'to': 9, 'term': ['hardly']}, 'sentiment': 'NEG'}, {'aspect': {'from': 1, 'to': 2, 'term': ['Bread']}, 'category': 'Food#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['burned']}, 'sentiment': 'NEG'}]"
So ~ its just okay .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 5, 'term': ['just', 'okay']}, 'sentiment': 'NEU'}]"
"Saw our table ready , asked if could sit he said no .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
Best burger place in town .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['burger', 'place']}, 'category': 'Restaurant#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Best']}, 'sentiment': 'POS'}]"
This is my absolutely my favorite dive bar ! ! !,ACOS,"[{'aspect': {'from': 6, 'to': 8, 'term': ['dive', 'bar']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 6, 'term': ['absolutely', 'my', 'favorite']}, 'sentiment': 'POS'}]"
"I gave the food an A- because the beans were a bit undercooked , just barely above raw and still had their strings .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['food']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['beans']}, 'category': 'Food#Quality', 'opinion': {'from': 10, 'to': 13, 'term': ['a', 'bit', 'undercooked']}, 'sentiment': 'NEG'}]"
"The waitstaff , although nice and friendly , were in no rush ...",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['waitstaff']}, 'category': 'Service#General', 'opinion': {'from': 6, 'to': 7, 'term': ['friendly']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['waitstaff']}, 'category': 'Service#General', 'opinion': {'from': 4, 'to': 5, 'term': ['nice']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['waitstaff']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
The worst is ... .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 1, 'to': 2, 'term': ['worst']}, 'sentiment': 'NEG'}]"
Save room for dessert and the traditional coffee .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['dessert']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 8, 'term': ['traditional', 'coffee']}, 'category': 'Drinks#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Not to mention the board games available for people to use while they wait or eat,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Theyve got some really fun choices and they do n't do the half price/half the size switcheroo during this time like some other restaurants do .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Style_Options', 'opinion': {'from': 3, 'to': 5, 'term': ['really', 'fun']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
This is one of the bigger / cleaner / more organized Orange Leafs ( Orange Leaves ? ),ACOS,"[{'aspect': {'from': 11, 'to': 13, 'term': ['Orange', 'Leafs']}, 'category': 'Ambience#General', 'opinion': {'from': 7, 'to': 8, 'term': ['cleaner']}, 'sentiment': 'POS'}, {'aspect': {'from': 11, 'to': 13, 'term': ['Orange', 'Leafs']}, 'category': 'Ambience#General', 'opinion': {'from': 9, 'to': 11, 'term': ['more', 'organized']}, 'sentiment': 'POS'}, {'aspect': {'from': 11, 'to': 13, 'term': ['Orange', 'Leafs']}, 'category': 'Ambience#General', 'opinion': {'from': 5, 'to': 6, 'term': ['bigger']}, 'sentiment': 'POS'}]"
Host is rude .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Host']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 3, 'term': ['rude']}, 'sentiment': 'NEG'}]"
Great bbq burger !,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['bbq', 'burger']}, 'category': 'Food#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Great']}, 'sentiment': 'POS'}]"
Its even worth going out of your way for .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': 1, 'to': 3, 'term': ['even', 'worth']}, 'sentiment': 'POS'}]"
Next time Im in the area I will head down there again .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Restaurant#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Nice selection of local brews .,ACOS,"[{'aspect': {'from': 3, 'to': 5, 'term': ['local', 'brews']}, 'category': 'Food#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Nice']}, 'sentiment': 'POS'}]"
"I had the chicken stir-fried with vegetables , again generously portioned and with plenty of chicken , but so salty it kept me gulping down water .",ACOS,"[{'aspect': {'from': 3, 'to': 7, 'term': ['chicken', 'stir-fried', 'with', 'vegetables']}, 'category': 'Food#Style_Options', 'opinion': {'from': 9, 'to': 11, 'term': ['generously', 'portioned']}, 'sentiment': 'POS'}, {'aspect': {'from': 15, 'to': 16, 'term': ['chicken']}, 'category': 'Food#Style_Options', 'opinion': {'from': 13, 'to': 14, 'term': ['plenty']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 7, 'term': ['chicken', 'stir-fried', 'with', 'vegetables']}, 'category': 'Food#Quality', 'opinion': {'from': 18, 'to': 20, 'term': ['so', 'salty']}, 'sentiment': 'NEG'}]"
"Love this shit , bubbles are a must .",ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['this', 'shit']}, 'category': 'Food#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Love']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['bubbles']}, 'category': 'Food#Quality', 'opinion': {'from': 7, 'to': 8, 'term': ['must']}, 'sentiment': 'POS'}]"
