the lox is always fresh too .	1,2 FOOD#QUALITY 2 4,5			
highly recommended to all !	-1,-1 RESTAURANT#GENERAL 2 1,2			
not impressed with the food .	4,5 FOOD#QUALITY 0 0,2			
prices too high for this cramped and unappealing resturant .	8,9 RESTAURANT#PRICES 0 2,3	8,9 AMBIENCE#GENERAL 0 5,6	8,9 AMBIENCE#GENERAL 0 7,8	
zero ambiance to boot .	1,2 AMBIENCE#GENERAL 0 0,1			
i thought this place was totally overrated .	3,4 RESTAURANT#GENERAL 0 6,7			
everything we had was good or ok . . . . but definitely nothing great .	-1,-1 FOOD#QUALITY 1 13,15			
the ambience was nice , but service was n ' t so great .	1,2 AMBIENCE#GENERAL 2 3,4	6,7 SERVICE#GENERAL 0 7,13		
when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .	-1,-1 RESTAURANT#GENERAL 0 9,15	-1,-1 RESTAURANT#PRICES 0 9,15		
this is the best shabu - shabu restaurant in the try - state area .	4,8 RESTAURANT#GENERAL 2 3,4			
thius is a must for anyone who loves shabu - shabu .	8,11 FOOD#QUALITY 2 7,8			
the atmosphere is nothing special , but it feels like a sushi establishment in tokyo .	1,2 AMBIENCE#GENERAL 2 3,5			
the owner and staff are all japanese as well and that adds to the entire ambiance .	1,2 RESTAURANT#MISCELLANEOUS 2 -1,-1	3,4 RESTAURANT#MISCELLANEOUS 2 -1,-1	15,16 AMBIENCE#GENERAL 2 11,12	
despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .	4,5 FOOD#STYLE_OPTIONS 0 3,4	-1,-1 FOOD#QUALITY 2 14,15	-1,-1 FOOD#STYLE_OPTIONS 2 9,12	
i must give it yon out of yon stars !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
taxan delicious !	0,1 FOOD#QUALITY 2 1,2			
this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !	-1,-1 RESTAURANT#GENERAL 2 3,4			
we were n ' t !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the prices were cheap compared to the quality of service and food .	9,10 SERVICE#GENERAL 2 -1,-1	11,12 FOOD#QUALITY 2 -1,-1	-1,-1 RESTAURANT#PRICES 2 3,4	
we liked it so much , that we will always make it a point to dine here when we visit new york .	-1,-1 RESTAURANT#GENERAL 2 1,2			
the location and ambience is ok but the food is what makes up for it .	1,2 LOCATION#GENERAL 1 5,6	3,4 AMBIENCE#GENERAL 1 5,6	8,9 FOOD#QUALITY 2 -1,-1	
there is a lot of variety even for people who eat vegetarian like me .	-1,-1 FOOD#STYLE_OPTIONS 2 2,6			
try green curry with vegetables .	1,5 FOOD#QUALITY 2 0,1			
the quantity is also very good , you will come out satisfied .	1,2 FOOD#STYLE_OPTIONS 2 5,6	1,2 FOOD#STYLE_OPTIONS 2 11,12		
the service is ok , some of the people did n ' t get what they asked for .	1,2 SERVICE#GENERAL 1 3,4			
i was there on sat . for my birthday and we had an excellent time .	-1,-1 RESTAURANT#GENERAL 2 13,14			
i had the best ravioli ever .	4,5 FOOD#QUALITY 2 3,4			
the wine the service was very good too .	1,2 DRINKS#QUALITY 2 6,7	3,4 SERVICE#GENERAL 2 6,7		
moderate prices .	-1,-1 RESTAURANT#PRICES 1 0,1			
a little noise but i think that was because of our party !	-1,-1 AMBIENCE#GENERAL 1 -1,-1			
this quaint and romantic trattoria is at the top of my manhattan restaurant list .	4,5 AMBIENCE#GENERAL 2 1,2	4,5 RESTAURANT#GENERAL 2 3,4		
the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .	1,2 FOOD#QUALITY 2 3,4	7,8 FOOD#QUALITY 2 -1,-1	10,14 FOOD#QUALITY 2 -1,-1	16,17 FOOD#QUALITY 2 18,21
whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .	5,8 FOOD#QUALITY 2 -1,-1	10,15 FOOD#QUALITY 2 -1,-1		
although the tables may be closely situated , the candle - light , food - quality and service overcompensate .	2,3 AMBIENCE#GENERAL 0 5,7	9,12 AMBIENCE#GENERAL 2 18,19	13,14 FOOD#QUALITY 2 18,19	17,18 SERVICE#GENERAL 2 18,19
a guaranteeed delight !	-1,-1 RESTAURANT#GENERAL 2 2,3			
i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .	21,22 FOOD#QUALITY 2 -1,-1	21,22 FOOD#PRICES 2 -1,-1	23,24 DRINKS#QUALITY 2 -1,-1	23,24 DRINKS#PRICES 2 -1,-1
if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .	6,10 FOOD#QUALITY 2 4,5	6,10 FOOD#QUALITY 2 25,26	-1,-1 FOOD#QUALITY 2 25,26	
i pray it stays open forever .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
i found the food , service and value exceptional everytime i have been there .	3,4 FOOD#QUALITY 2 8,9	5,6 SERVICE#GENERAL 2 8,9	-1,-1 RESTAURANT#PRICES 2 8,9	
i felt as though i were eating in paris .	-1,-1 FOOD#QUALITY 2 -1,-1			
the service was excellent - friendly and attentive .	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 5,6	1,2 SERVICE#GENERAL 2 7,8	
the prices are wonderfully low .	-1,-1 RESTAURANT#PRICES 2 3,5			
very good wine choices .	2,4 DRINKS#STYLE_OPTIONS 2 1,2			
who has room for cheesesticks with the best pizza in nyc !	8,9 FOOD#QUALITY 2 7,8			
get the pepperoni - yum - and a family style salad .	2,3 FOOD#QUALITY 2 4,5	8,11 FOOD#QUALITY 2 4,5		
great staff .	1,2 SERVICE#GENERAL 2 0,1			
always great service !	2,3 SERVICE#GENERAL 2 1,2			
i go twice a month !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the food is good , i ca n ' t lie .	1,2 FOOD#QUALITY 2 3,4			
the hostess and the waitress were incredibly rude and did everything they could to rush us out .	1,2 SERVICE#GENERAL 0 7,8	4,5 SERVICE#GENERAL 0 7,8		
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .	8,9 SERVICE#GENERAL 0 -1,-1			
this place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	1,2 RESTAURANT#PRICES 0 3,3	8,9 FOOD#QUALITY 2 10,11	15,16 SERVICE#GENERAL 0 -1,-1	
save yourself the time and trouble and skip this one !	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
amma is nothing special .	0,1 RESTAURANT#GENERAL 1 2,4			
i ate here a week ago and found most dishes average at best and too expensive .	9,10 FOOD#QUALITY 0 10,13	9,10 FOOD#PRICES 0 15,16		
will not be back .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
do n ' t dine at tamarind for the vegetarian dishes , they are simply not up to par with the non - veg selections .	9,11 FOOD#QUALITY 0 15,19	21,25 FOOD#QUALITY 2 -1,-1		
this place is always packed .	1,2 AMBIENCE#GENERAL 1 4,5			
most importantly , food is excellent .	3,4 FOOD#QUALITY 2 5,6			
try the sea bass .	2,4 FOOD#QUALITY 2 -1,-1			
highly recommended .	-1,-1 RESTAURANT#GENERAL 2 1,2			
first of all dal bukhara rocks .	3,7 FOOD#QUALITY 2 -1,-1			
i am happy i did the food was awsome .	6,7 FOOD#QUALITY 2 8,9			
and yes dal bukhara is so dam good and so are all the kababs .	13,14 FOOD#QUALITY 2 7,8	2,4 FOOD#QUALITY 2 7,8		
but overall i give it a 10	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
10	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
haru on park s is simply disgusting .	0,4 RESTAURANT#GENERAL 0 6,7			
the fish was not fresh and the rice tasted old and stale .	1,2 FOOD#QUALITY 0 3,5	7,8 FOOD#QUALITY 0 9,10	7,8 FOOD#QUALITY 0 11,12	
quite frankly , this is some of the worst sushi i have ever tried .	9,10 FOOD#QUALITY 0 8,9			
will never be back .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
honestly the worst sushi my husband and i had in our entire lives .	3,4 FOOD#QUALITY 0 2,3			
not sure why this restaurant would be rated that highly .	4,5 RESTAURANT#GENERAL 0 9,10			
the all - u - can - eat sushi is definitely in very poor quality .	1,9 FOOD#QUALITY 0 13,15			
wont come back again for sure !	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .	11,13 FOOD#QUALITY 0 10,11	24,25 FOOD#QUALITY 0 21,24		
the waitstaffs are nice though .	1,2 SERVICE#GENERAL 2 3,4			
i have been to roth ' s twice and both times were very disappointing .	4,7 RESTAURANT#GENERAL 0 13,15			
both times i was extremely dissappointed by the service , which was boarderline rude .	8,9 SERVICE#GENERAL 0 5,6	8,9 SERVICE#GENERAL 0 13,14		
they wouldnt even let me finish my glass of wine before offering another .	-1,-1 SERVICE#GENERAL 0 -1,-1			
much of the time it seems like they do not care about you .	-1,-1 SERVICE#GENERAL 0 -1,-1			
the dinner was ok , nothing i would have again .	1,2 FOOD#QUALITY 0 3,4			
this was a great surprise .	-1,-1 RESTAURANT#GENERAL 2 3,4			
i look forward to eating here again	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
planet thai is great !	0,2 RESTAURANT#GENERAL 2 3,4			
we love the food , drinks , and atmosphere !	3,4 FOOD#QUALITY 2 1,2	5,6 DRINKS#QUALITY 2 1,2	8,9 AMBIENCE#GENERAL 2 1,2	
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !	1,2 SERVICE#GENERAL 0 6,7	20,21 RESTAURANT#GENERAL 2 23,24		
try the pad thai , it ' s fabulous and their prices are so cheap !	2,4 FOOD#QUALITY 2 0,1	2,4 FOOD#QUALITY 2 8,9	2,4 FOOD#QUALITY 2 14,15	-1,-1 RESTAURANT#PRICES 2 13,15
just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !	10,11 FOOD#STYLE_OPTIONS 2 12,13	15,16 FOOD#QUALITY 2 17,18	-1,-1 RESTAURANT#PRICES 2 21,22	
they forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter .	-1,-1 SERVICE#GENERAL 0 -1,-1			
also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .	3,4 FOOD#STYLE_OPTIONS 2 -1,-1	3,4 FOOD#PRICES 2 -1,-1		
overall , not worth the money .	-1,-1 RESTAURANT#GENERAL 0 2,4	-1,-1 RESTAURANT#PRICES 0 2,4		
eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .	4,5 AMBIENCE#GENERAL 2 5,6	-1,-1 RESTAURANT#GENERAL 0 18,19		
chennai garden is my favorite indian restaurant in the city .	0,2 RESTAURANT#GENERAL 2 4,5			
they have authentic indian at amazing prices .	3,4 FOOD#QUALITY 2 2,3	-1,-1 FOOD#PRICES 2 5,6		
this restaurant is vegetarian ; there are no meat dishes whatsoever .	8,10 FOOD#STYLE_OPTIONS 0 -1,-1			
the seats are uncomfortable if you are sitting against the wall on wooden benches .	1,2 AMBIENCE#GENERAL 0 3,4			
it ' s a rather cramped and busy restaurant and it closes early .	8,9 RESTAURANT#MISCELLANEOUS 0 7,8	8,9 AMBIENCE#GENERAL 0 5,6		
the food is tasty and portion sizes are appropriate .	1,2 FOOD#QUALITY 2 3,4	5,7 FOOD#STYLE_OPTIONS 2 8,9		
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .	4,5 RESTAURANT#MISCELLANEOUS 2 3,4			
not a great place for family or general dining .	3,4 RESTAURANT#MISCELLANEOUS 0 0,3			
food is excellent .	0,1 FOOD#QUALITY 2 2,3			
fish is so very fresh .	0,1 FOOD#QUALITY 2 4,5			
waitstaff are very friendly .	0,1 SERVICE#GENERAL 2 3,4			
love yuka .	1,2 RESTAURANT#GENERAL 2 0,1			
mermaid inn is an overall good restaurant with really good seafood .	10,11 FOOD#QUALITY 2 9,10	0,2 RESTAURANT#GENERAL 2 5,6		
the lobster sandwich is good and the spaghetti with scallops and shrimp is great .	1,3 FOOD#QUALITY 2 4,5	7,12 FOOD#QUALITY 2 13,14		
the service is good and ambience is good for a date or group outing .	1,2 SERVICE#GENERAL 2 3,4	5,6 AMBIENCE#GENERAL 2 7,8		
the only fallback on this restaurant is the prices .	5,6 RESTAURANT#PRICES 0 2,3			
even though its good seafood , the prices are too high .	4,5 FOOD#QUALITY 2 3,4	-1,-1 RESTAURANT#PRICES 0 9,11		
the lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .	1,3 FOOD#QUALITY 2 10,11	1,3 FOOD#PRICES 0 13,16		
we were very pleasantly surprised .	-1,-1 RESTAURANT#GENERAL 2 3,5			
the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .	1,2 FOOD#QUALITY 2 3,4	8,10 FOOD#QUALITY 2 3,4	14,15 FOOD#QUALITY 2 3,4	19,20 SERVICE#GENERAL 2 21,24
when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .	22,23 SERVICE#GENERAL 2 -1,-1			
truly the mark of an attentive waiter .	6,7 SERVICE#GENERAL 2 5,6			
i highly recommend the restaurant based on our experience last night .	4,5 RESTAURANT#GENERAL 2 2,3			
we ate at this thai place following the reviews but very unhappy with the foods .	14,15 FOOD#QUALITY 0 11,12			
we thought that this place is using too much of msg cooking in the foods .	14,15 FOOD#QUALITY 0 -1,-1			
they do n ' t concern much of customer ' s health , just want to make money .	-1,-1 RESTAURANT#MISCELLANEOUS 0 -1,-1			
please do n ' t fool us .	-1,-1 RESTAURANT#MISCELLANEOUS 0 5,6			
i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .	3,5 FOOD#QUALITY 2 1,2	6,8 FOOD#QUALITY 2 1,2	10,12 FOOD#QUALITY 2 1,2	15,19 FOOD#QUALITY 2 1,2
the food is so cheap and the waiters are nice .	1,2 FOOD#PRICES 2 4,5	7,8 SERVICE#GENERAL 2 9,10		
of course , it is crowded but who cares .	-1,-1 AMBIENCE#GENERAL 1 -1,-1			
authentic shanghai style and i can not recommend a better shanghai place in new york .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1			
have frequented ' ino for several years and the food remains excellent .	9,10 FOOD#QUALITY 2 11,12			
cheese plate is a varied delight and great bargain at $ 10 .	0,2 FOOD#QUALITY 2 4,6	0,2 FOOD#STYLE_OPTIONS 2 4,6	0,2 FOOD#PRICES 2 7,9	
the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .	4,5 FOOD#STYLE_OPTIONS 2 1,3	6,7 FOOD#STYLE_OPTIONS 2 1,3	8,9 FOOD#STYLE_OPTIONS 2 1,3	
( the asparagus , truffle oil , parmesan bruschetta is a winner ! )	2,3 FOOD#QUALITY 2 11,12	4,6 FOOD#QUALITY 2 11,12	7,9 FOOD#QUALITY 2 11,12	
be sure to try the seasonal , and always delicious , specials .	11,12 FOOD#QUALITY 2 3,4	11,12 FOOD#QUALITY 2 5,6	11,12 FOOD#QUALITY 2 9,10	
definitely a neighborhood favorite .	-1,-1 RESTAURANT#GENERAL 2 3,4			
i loved this place ! !	3,4 RESTAURANT#GENERAL 2 1,2			
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .	9,10 AMBIENCE#GENERAL 2 12,13			
i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !	14,15 SERVICE#GENERAL 0 19,20	14,15 SERVICE#GENERAL 0 21,22	2,4 RESTAURANT#GENERAL 2 1,2	
the service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .	1,2 SERVICE#GENERAL 0 3,4			
the waitress , seems to be more concerned of looking good than actually waitressing .	1,2 SERVICE#GENERAL 0 -1,-1			
after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .	3,4 SERVICE#GENERAL 0 -1,-1			
we did tip , i guess the model / waitress just wanted more and complained to the manager .	9,10 SERVICE#GENERAL 0 -1,-1			
pizza here is consistently good .	0,1 FOOD#QUALITY 2 4,5			
salads are a delicious way to begin the meal .	0,1 FOOD#QUALITY 2 3,4			
it is thick and slightly soggy .	-1,-1 FOOD#QUALITY 0 2,3	-1,-1 FOOD#QUALITY 0 5,6		
decor is charming .	0,1 AMBIENCE#GENERAL 2 2,3			
service is average .	0,1 SERVICE#GENERAL 1 2,3			
what a great place .	3,4 RESTAURANT#GENERAL 2 2,3			
the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .	1,2 AMBIENCE#GENERAL 2 4,5	19,20 FOOD#QUALITY 2 22,23	-1,-1 RESTAURANT#PRICES 2 10,11	
i was n ' t thrilled to have to wait on line for thirty minutes , but i guess that ' s the price you pay for a popular place .	-1,-1 SERVICE#GENERAL 1 -1,-1			
i would definitely recommend sea if you like thai cuisine !	8,10 FOOD#QUALITY 2 7,8			
i was here a few weeks back and we had the worst customer service experience at a restaurant ever .	12,14 SERVICE#GENERAL 0 11,12			
a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .	1,2 SERVICE#GENERAL 0 -1,-1			
while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .	-1,-1 SERVICE#GENERAL 0 18,19	-1,-1 SERVICE#GENERAL 0 23,24		
never again !	-1,-1 RESTAURANT#GENERAL 0 0,2			
i absolutely loved this place .	4,5 RESTAURANT#GENERAL 2 2,3			
excellent atmosphere , delicious dishes good and friendly service .	1,2 AMBIENCE#GENERAL 2 0,1	4,5 FOOD#QUALITY 2 3,4	8,9 SERVICE#GENERAL 2 5,6	8,9 SERVICE#GENERAL 2 7,8
this is can became on e of the ny italian food fare institutions .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
i think that it is absolutely brilliant and well runned business operation .	-1,-1 RESTAURANT#GENERAL 2 6,7	-1,-1 RESTAURANT#GENERAL 2 8,10		
the wine list is also really nice .	1,3 DRINKS#STYLE_OPTIONS 2 6,7			
i have been to casimir over 5 times and i have always had a great time there .	4,5 RESTAURANT#GENERAL 2 14,16			
the food is great and reasonably priced .	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#PRICES 2 5,7		
i have tried to make reservations , but both times , the hostess did n ' t have my name .	12,13 SERVICE#GENERAL 0 -1,-1			
if the weather is nice , try to snag an outside table .	10,12 AMBIENCE#GENERAL 2 -1,-1			
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 10,11	13,15 AMBIENCE#GENERAL 0 -1,-1	
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .	-1,-1 RESTAURANT#GENERAL 2 22,23			
from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .	3,4 FOOD#QUALITY 2 2,3	7,8 SERVICE#GENERAL 2 6,7		
considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .	16,17 SERVICE#GENERAL 2 27,28	16,17 SERVICE#GENERAL 2 29,30		
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .	12,13 FOOD#QUALITY 2 9,12	15,16 SERVICE#GENERAL 2 14,15		
nice family owned traditional restaurant .	4,5 RESTAURANT#GENERAL 2 3,4			
i was pleasantly surprised to find this gem in hoboken .	-1,-1 RESTAURANT#GENERAL 2 3,4			
i found the food to be outstanding , particulary the salmon dish i had .	3,4 FOOD#QUALITY 2 6,7	10,12 FOOD#QUALITY 2 6,7		
i also ordered the change mojito , which was out of this world .	4,6 DRINKS#QUALITY 2 9,13			
my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .	17,19 FOOD#QUALITY 1 22,23	17,19 FOOD#QUALITY 1 30,31	17,19 FOOD#QUALITY 1 26,28	
we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .	5,7 AMBIENCE#GENERAL 2 10,11	5,7 AMBIENCE#GENERAL 2 16,17	19,20 AMBIENCE#GENERAL 2 22,23	
overall , excellent restaurant !	3,4 RESTAURANT#GENERAL 2 2,3			
the food was good .	1,2 FOOD#QUALITY 2 3,4			
the place was nice and calm .	1,2 AMBIENCE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 5,6		
but the service was a bit slow .	2,3 SERVICE#GENERAL 0 6,7			
the buffet had a nice selection .	1,2 FOOD#STYLE_OPTIONS 2 4,5			
the food was average or above including some surprising tasty dishes .	1,2 FOOD#QUALITY 2 3,6	10,11 FOOD#QUALITY 2 8,9	10,11 FOOD#QUALITY 2 9,10	
service was also very good .	0,1 SERVICE#GENERAL 2 4,5			
i would go back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
i got an excellent piece of cheesecake and we had several other nice pastries .	6,7 FOOD#QUALITY 2 3,4	13,14 FOOD#QUALITY 2 12,13		
i would recommend roxy ' s for that , but not for their food .	13,14 FOOD#QUALITY 0 2,3	-1,-1 FOOD#QUALITY 2 2,3		
my son and his girlfriend both wanted cheeseburgers and they were huge !	7,8 FOOD#STYLE_OPTIONS 1 11,12			
but , they were too big for the bun .	-1,-1 FOOD#STYLE_OPTIONS 0 4,6			
consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .	3,4 FOOD#STYLE_OPTIONS 0 4,6			
also they were $ 15 each !	-1,-1 FOOD#PRICES 0 -1,-1			
i had a huge pastrami sandwich on a roll .	4,9 FOOD#STYLE_OPTIONS 1 3,4			
it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !	-1,-1 FOOD#PRICES 1 4,7	-1,-1 FOOD#QUALITY 0 -1,-1		
this place is really trendi but they have forgotten about the most important part of a restaurant , the food .	19,20 FOOD#QUALITY 0 8,9	1,2 AMBIENCE#GENERAL 2 4,5		
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .	9,10 FOOD#QUALITY 0 12,13	22,23 FOOD#QUALITY 0 -1,-1		
and the tom kha soup was pathetic .	2,5 FOOD#QUALITY 0 6,7			
if you want good authentic thai this place is not the place to go .	5,6 FOOD#QUALITY 0 3,4	5,6 FOOD#QUALITY 0 4,5		
we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .	21,22 FOOD#QUALITY 2 18,19			
the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .	1,3 FOOD#QUALITY 2 4,5	15,18 FOOD#QUALITY 2 12,13		
conveniently located too , being right on bedford ave .	-1,-1 LOCATION#GENERAL 2 0,1			
the back garden sitting area is very pleasant , where you can see their personal herb garden .	1,5 AMBIENCE#GENERAL 2 7,8			
we had the lobster sandwich and it was fantastic .	3,5 FOOD#QUALITY 2 8,9			
my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .	12,13 FOOD#STYLE_OPTIONS 2 14,15	22,24 FOOD#QUALITY 2 26,27	-1,-1 FOOD#STYLE_OPTIONS 0 -1,-1	
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .	3,4 FOOD#QUALITY 2 10,11	13,14 FOOD#QUALITY 2 15,16		
we waited at the bar and had martinis that were just right .	7,8 DRINKS#QUALITY 2 11,12			
love the food .	2,3 FOOD#QUALITY 2 0,1			
it ' s the only place you can get yummy authentic japanese comfort food .	11,14 FOOD#QUALITY 2 9,10	11,14 FOOD#QUALITY 2 10,11		
and you ca n ' t beat the prices .	-1,-1 RESTAURANT#PRICES 2 -1,-1			
i ' ve lived in ny for 5 years and this place has it all .	11,12 RESTAURANT#GENERAL 2 -1,-1			
great food , good size menu , great service and an unpretensious setting .	1,2 FOOD#QUALITY 2 0,1	5,6 FOOD#STYLE_OPTIONS 2 3,5	8,9 SERVICE#GENERAL 2 7,8	12,13 AMBIENCE#GENERAL 2 11,12
i ' m glad i was introduced to this place and this is a rare gem in ny .	9,10 RESTAURANT#GENERAL 2 3,4			
the freshest , best variety , and the fastest delivery .	9,10 SERVICE#GENERAL 2 8,9	-1,-1 FOOD#QUALITY 2 1,2	-1,-1 FOOD#STYLE_OPTIONS 2 3,4	
also very inexpensive .	-1,-1 RESTAURANT#PRICES 2 2,3			
the service was excellent and the food was delicious .	1,2 SERVICE#GENERAL 2 3,4	6,7 FOOD#QUALITY 2 8,9		
definitely a great spot for a nice occasion or date .	3,4 RESTAURANT#MISCELLANEOUS 2 2,3			
average to good thai food , but terrible delivery .	3,5 FOOD#QUALITY 2 0,3	8,9 SERVICE#GENERAL 0 7,8		
i ' ve waited over one hour for food .	-1,-1 SERVICE#GENERAL 0 -1,-1			
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice .	-1,-1 SERVICE#GENERAL 0 3,4			
a thai restaurant out of rice during dinner ?	1,3 RESTAURANT#MISCELLANEOUS 2 -1,-1			
the food arrived 20 minutes after i called , cold and soggy .	1,2 FOOD#QUALITY 0 9,10	1,2 FOOD#QUALITY 0 11,12	-1,-1 SERVICE#GENERAL 0 -1,-1	
this is a wonderful place on all stand points especially value ofr money .	4,5 RESTAURANT#PRICES 2 3,4	4,5 RESTAURANT#GENERAL 2 3,4		
an excellent service	2,3 SERVICE#GENERAL 2 1,2			
we were greeted promptly by the waiter who was very nice and cordial .	6,7 SERVICE#GENERAL 2 10,11	6,7 SERVICE#GENERAL 2 12,13	-1,-1 SERVICE#GENERAL 2 3,4	
she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food .	17,18 FOOD#QUALITY 2 16,17	-1,-1 SERVICE#GENERAL 2 3,4		
the food looked very appetizing and delicious since it came on a variety of fancy plates .	1,2 FOOD#STYLE_OPTIONS 2 4,5	1,2 FOOD#STYLE_OPTIONS 2 6,7		
we ended our great experience by having gulab jamun ( dessert ) recommended by the waiter .	-1,-1 RESTAURANT#GENERAL 2 3,4	7,12 FOOD#QUALITY 2 -1,-1		
i thanked my friend who recommended me this restaurant and will certainly recommend it to others .	8,9 RESTAURANT#GENERAL 2 12,13			
service here was great , food was fantastic .	0,1 SERVICE#GENERAL 2 3,4	5,6 FOOD#QUALITY 2 7,8		
guacamole + shrimp appetizer was really great , we both had the filet , very good , did n ' t much like the frites that came with , but the filet was so good , neither of us cared .	0,4 FOOD#QUALITY 2 6,7	12,13 FOOD#QUALITY 2 15,16	24,25 FOOD#QUALITY 0 -1,-1	
will absolutely visit again .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
you can not go wrong with this place .	7,8 RESTAURANT#GENERAL 2 4,5			
the food is outstanding and the service is quick , friendly and very professional .	1,2 FOOD#QUALITY 2 3,4	6,7 SERVICE#GENERAL 2 8,9	6,7 SERVICE#GENERAL 2 10,11	6,7 SERVICE#GENERAL 2 13,14
always a nice crowd , but never loud .	3,4 RESTAURANT#MISCELLANEOUS 2 2,3	3,4 RESTAURANT#MISCELLANEOUS 2 6,8	-1,-1 AMBIENCE#GENERAL 2 6,8	
go here .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
good for dates or with friends .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1			
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .	14,16 RESTAURANT#MISCELLANEOUS 2 18,19			
however , it is jus too good to not praise it .	-1,-1 RESTAURANT#GENERAL 2 6,7			
by far , the best pizza in manhattan .	5,6 FOOD#QUALITY 2 4,5			
the crust is thin , the ingredients are fresh and the staff is friendly .	1,2 FOOD#QUALITY 2 3,4	11,12 SERVICE#GENERAL 2 13,14	6,7 FOOD#QUALITY 2 8,9	
the menu has so many fish items and oysters .	1,2 FOOD#STYLE_OPTIONS 2 -1,-1			
the fish was really , really fresh .	1,2 FOOD#QUALITY 2 6,7			
